Pin ID,Name,Type,Power Domain,Function
J24,AVSS_PCIEC,G,0V,PCIEC Ground
J25,PCIEC_RX1P,AI,1.8V,PCIEC RX1LANEP
J26,PCIEC_RX1N,AI,1.8V,PCIEC RX1LANEN
J3,AVSS_CSI,G,0V,MIPI_CSI Ground
J4,MIPI_CSI1_D3N,AI,1.8V,CSI1 DATA3LANEN
J5,MIPI_CSI1_D3P,AI,1.8V,CSI1 DATA3LANEP
J6,AVSS_CSI,G,0V,MIPI_CSI Ground
J7,XO_PAD,AO,1.8V,DCXO crystal output
J8,AVSS18_AFEAP,G,0V,DCXO Ground
J9,AVSS18_AFEAP,G,0V,DCXO Ground
K1,MIPI_CSI3_CLKN,AO,1.8V,CSI3 CKLANEN for CSI3 DATALANE0/1 when CSI3 is configured as two 2ch CSI;; CSI3 CKLANEN for CSI3 DATALANE0/1/2/3 when CSI3 is configured as 4ch CSI
K10,VSS,G,0V,Digital Core Ground
K11,BG_OUT,AO,1.8V,Bandgap output
K12,AVDD18_AFEAP,P,1.8V,1.8V power for DCXO
K13,MPLL_TST_CK,AIO,1.8V,Analog testpin
K14,AVDD18_PLL,P,1.8,System PLL power supply
K15,VCC_M1,P,0.9V,Digital Core power
K16,VSS,G,0V,Digital core Ground
K17,VCC_M1,P,0.9V,Digital Core power
K18,VSSU_PCIEC,G,0V,PCIEC Ground
K19,VSSU_PCIEC,G,0V,PCIEC Ground
K2,MIPI_CSI3_CLKP,AO,1.8V,CSI3 CKLANEP for CSI3 DATALANE0/1 when CSI3 is configured as two 2ch CSI;; CSI3 CKLANEP for CSI3 DATALANE0/1/2/3 when CSI3 is configured as 4ch CSI
K20,AVDD09_PCIEC,P,0.9V,PCIEC digital power
K21,AVSS_PCIEC,G,0V,PCIEC Ground
K22,PCIEC_TX1P,AO,1.8V,PCIEC TX1LANEP
K23,PCIEC_TX1N,AO,1.8V,PCIEC TX1LANEN
K24,AVSS_PCIEC,G,0V,PCIEC Ground
K25,PCIEB_RX0P,AI,1.8V,PCIEB RX0LANEP
K26,PCIEB_RX0N,AI,1.8V,PCIEB RX0LANEN
K3,AVSS_CSI,G,0V,MIPI_CSI Ground
K4,MIPI_CSI3_D1N,AI,1.8V,CSI3 DATA1LANEN
K5,MIPI_CSI3_D1P,AI,1.8V,CSI3 DATA1LANEP
K6,AVDD18_CSI,P,1.8V,MIPI_CSI analog power
K7,AVDD09_CSI,P,0.9V,MIPI_CSI digtial power
K8,AVSS_CSI,G,0V,MIPI_CSI Ground
K9,VCC_M1,P,0.9V,Digital Core power
L1,MIPI_CSI3_D2N,AI,1.8V,CSI3 DATA2LANEN
L10,VCC_M1,P,0.9V,Digital Core power
L11,AVDD09_AFEAP,P,0.9V,0.9V power for DCXO
L12,VSSU_AFEAP,G,0V,DCXO Ground
L13,AVSS_PLL,G,0V,Analog Core Ground
L14,VSSU_PLL,G,0V,System PLL Ground
L15,VSS,G,0V,Digital core Ground
L16,VCC_M1,P,0.9V,Digital Core power
L17,VSSU_PCIEC,G,0V,PCIEC Ground
L18,VSSU_PCIEC,G,0V,PCIEC Ground
L19,AVDD18_PCIEC,P,1.8V,PCIEC analog power
L2,MIPI_CSI3_D2P,AI,1.8V,CSI3 DATA2LANEP
L20,AVDD09_PCIEB,P,0.9V,PCIEB digital power
L21,AVDD09_PCIEB,P,0.9V,PCIEB digital power
L22,PCIEB_TX0P,AO,1.8V,PCIEB TX0LANEP
L23,PCIEB_TX0N,AO,1.8V,PCIEB TX0LANEN
L24,AVSS_PCIEB,G,0V,PCIEB Ground
L25,PCIEB_REFCLK_P,AIO,1.8V,PCIEB CKLANEP
L26,PCIEB_REFCLK_N,AIO,1.8V,PCIEB CKLANEN
L3,AVSS_CSI,G,0V,MIPI_CSI Ground
L4,MIPI_CSI2_CLKN,AO,1.8V,CKLANEN for CSI3 DATALANE2/3 when CSI3 is configured as two 2ch CSI;; Disabled when CSI3 is configured as 4ch CSI
L5,MIPI_CSI2_CLKP,AO,1.8V,CKLANEP for CSI3 DATALANE2/3 when CSI3 is configured as two 2ch CSI;; Disabled when CSI3 is configured as 4ch CSI
L6,AVDD18_CSI,P,1.8V,MIPI_CSI analog power
L7,AVDD09_CSI,P,0.9V,MIPI_CSI digtial power
L8,AVSS_CSI,G,0V,MIPI_CSI Ground
L9,AVSS_CSI,G,0V,MIPI_CSI Ground
M1,MIPI_CSI3_D3N,AI,1.8V,CSI3 DATA3LANEN
M10,VSS,G,0V,Digital Core Ground
M11,AVDD09_PLL,P,0.9,System PLL power supply
M12,VSS,G,0V,Digital Core Ground
M13,VSS,G,0V,Digital Core Ground
M14,VSS,G,0V,Digital Core Ground
M15,VCC_M1,P,0.9V,Digital Core power
M16,VSS,G,0V,Digital Core Ground
M17,VSSU_PCIEB,G,0V,PCIEB Ground
M18,VSSU_PCIEB,G,0V,PCIEB Ground
M19,AVDD18_PCIEB,P,1.8V,PCIEB analog power
M2,MIPI_CSI3_D3P,AI,1.8V,CSI3 DATA3LANEP
M20,AVSS_PCIEB,G,0V,PCIEB Ground
M21,AVSS_PCIEB,G,0V,PCIEB Ground
M22,PCIEB_TX1P,AO,1.8V,PCIEB TX1LANEP
M23,PCIEB_TX1N,AO,1.8V,PCIEB TX1LANEN
M24,AVSS_PCIEB,G,0V,PCIEB Ground
M25,PCIEB_RX1P,AI,1.8V,PCIEB RX1LANEP
M26,PCIEB_RX1N,AI,1.8V,PCIEB RX1LANEN
M3,VSS,G,0V,Digital Core Ground
M4,VSS,G,0V,Digital Core Ground
M5,VSSU_PCIEA,G,0V,PCIEA Ground
M6,AVDD18_USB,P,1.8V,USB2.0 1.8V power
M7,AVDD09_USB,P,0.9V,USB2.0 digital power
M8,VSSU_PCIEA,G,0V,PCIEA Ground
M9,AVDD33_USB,P,3.3V,USB2.0 3.3V power
N1,USB2_DN,AIO,3.3V,USB2.0_2 D- differential data line
N10,VCC_M1,P,0.9V,Digital Core power
N11,VSS,G,0V,Digital Core Ground
N12,VCC_M1,P,0.9V,Digital Core power
N13,VSS,G,0V,Digital Core Ground
N14,VCC_M1,P,0.9V,Digital Core power
N15,VSS,G,0V,Digital Core Ground
N16,VCC_M1,P,0.9V,Digital Core power
N17,AVSS18_AUD,G,0V,Audio Ground
N18,AVDD3V3_AUD,P,3.3V,3.3V power for earphone driver
N19,AVSS18_AUD,G,0V,Audio Ground
N2,USB2_DP,AIO,3.3V,USB2.0_2 D+ differential data line
N20,AVSS18_AUD,G,0V,Audio Ground
N21,NC,P,1.8V,NC
N22,NC,P,-1.8V,NC
N23,NC,AO,+/-1.8V,NC
N24,NC,AO,+/-1.8V,NC
N25,NC,AO,3.3V,NC
N26,NC,AO,3.3V,NC
N3,AVSS_USB,G,0V,USB2.0 Ground
N4,PCIEA_TXN,AO,1.8V,PCIEA TXLANEN
N5,PCIEA_TXP,AO,1.8V,PCIEA TXLANEP
N6,AVDD18_PCIEA,P,1.8V,PCIEA analog power
N7,AVDD09_PCIEA,P,0.9V,PCIEA digital power
N8,AVSS_PCIEA,G,0V,PCIEA Ground
N9,AVDD33_USB,P,3.3V,USB2.0 3.3V power
P1,PCIEA_RXN,AI,1.8V,PCIEA RXLANEN
P10,VSS,G,0V,Digital Core Ground
P11,VCC_M1,P,0.9V,Digital Core power
P12,VSS,G,0V,Digital Core Ground
P13,VCC_M1,P,0.9V,Digital Core power
P14,VSS,G,0V,Digital Core Ground
P15,VCC_M1,P,0.9V,Digital Core power
P16,VSS,G,0V,Digital Core Ground
P17,AUD_GNDSNS,G,0V,Headphone sense_Ground
P18,AVDD18_AUD,P,1.8V,1.8V power for audio
P19,AVDD18_AUD,P,1.8V,1.8V power for audio
P2,PCIEA_RXP,AI,1.8V,PCIEA RXLANEP
P20,NC,AO,1.8V,NC
P21,NC,AO,1.8V,NC
P22,NC,AO,1.8V,NC
P23,NC,AI,1.8V,NC
P24,NC,AI,1.8V,NC
P25,NC,AI,1.8V,NC
P26,NC,AI,1.8V,NC
P3,AVSS_USB,G,0V,USB2.0 Ground
P4,PCIEA_R_EXT,AO,1.8V,PCIEA External calibration resistor
P5,AVSS_USB,G,0V,USB2.0 Ground
P6,AVDD18_USB,P,1.8V,USB2.0 1.8V power
P7,AVDD09_USB,P,0.9V,USB2.0 digital power
P8,AVDD09_USB,P,0.9V,USB2.0 digital power
P9,AVDD33_USB,P,3.3V,USB2.0 3.3V power
R1,PCIEA_REFCLK_N,AIO,1.8V,PCIEA CKLANEN
R10,VCC_M1,P,0.9V,Digital Core power
R11,VSS,G,0V,Digital Core Ground
R12,VCC_M1,P,0.9V,Digital Core power
R13,VSS,G,0V,Digital Core Ground
R14,VCC_M1,P,0.9V,Digital Core power
R15,VSS,G,0V,Digital Core Ground
R16,VCC_M1,P,0.9V,Digital Core power
R17,AUD_VSSU,G,0V,Audio Ground
R18,AUD_VDDU09,P,0.9V,0.9V power for audio
R19,AUD_REFGND,G,0V,Audio Reference Ground
R2,PCIEA_REFCLK_P,AIO,1.8V,PCIEA CKLANEP
R20,NC,AO,1.8V,NC
R21,AUD_AUREF10,RO,1.8V,Audio reference voltage
R22,NC,AI,1.8V,NC
R23,NC,AI,1.8V,NC
R24,VSS,G,0V,Digital core ground
R25,NC,AI,1.8V,NC
R26,NC,AI,1.8V,NC
R3,VSS,G,0V,Digital core Ground
R4,USB1_DN,AIO,3.3V,USB2.0_1 D- differential data line
R5,USB1_DP,AIO,3.3V,USB2.0_1 D+ differential data line
R6,AVDD18_DSI1,P,1.8V,DSI analog power
R7,AVSS_USB,G,0V,USB2.0 Ground
R8,VSS,G,0V,Digital Core Ground
R9,VSS,G,0V,Digital Core Ground
T1,MIPI_DSI1_D3N,AO,1.2V,DSI DATA3LANEN
T10,VSS,G,0V,Digital Core ground
T11,VCC_M1,P,0.9V,Digital Core power
T12,VSS,G,0V,Digital Core ground
T13,VCC_M1,P,0.9V,Digital Core power
T14,VSS,G,0V,Digital Core ground
T15,VCC_M1,P,0.9V,Digital Core power
T16,VSS,G,0V,Digital Core ground
T17,VCC_M1,P,0.9V,Digital Core power
T18,VSS,G,0V,Digital Core ground
T19,VSS,G,0V,Digital Core ground
T2,MIPI_DSI1_D3P,AO,1.2V,DSI DATA3LANEP
T20,VSS,G,0V,Digital Core ground
T21,AVSS18_AUD,G,0V,Audio Ground
T22,AVSS18_AUD,G,0V,Audio Ground
T23,NC,AI,1.8V,NC
T24,VSS,G,0V,Digital Core ground
T25,NC,AO,3.3V,NC
T26,VSS,G,0V,Digital core ground
T3,VSS,G,0V,Digital core ground
T4,USB0_DN,AIO,3.3V,USB2.0_0 D- differential data line
T5,USB0_DP,AIO,3.3V,USB2.0_0 D+ differential data line
T6,VSS,G,0V,Digital core ground
T7,AVDD09_DSI1,P,0.9V,DSI digital power
T8,AVDD12_DSI1,P,1.2V,DSI driver power
T9,VCC_M1,P,0.9V,Digital Core power
U1,MIPI_DSI1_D2N,AO,1.2V,DSI DATA2LANEN
U10,VCC_M1,P,0.9V,Digital Core power
U11,VSS,G,0V,Digital Core ground
U12,VCC_M1,P,0.9V,Digital Core power
U13,VSS,G,0V,Digital Core ground
U14,VCC_M1,P,0.9V,Digital Core power
U15,VSS,G,0V,Digital Core ground
U16,VCC_M1,P,0.9V,Digital Core power
U17,VSS,G,0V,Digital Core ground
U18,VCC_M1_FB,P,0.9V,Digital Core power FeedBack
U19,VSS_FB,G,0V,Digital Core ground FeedBack
U2,MIPI_DSI1_D2P,AO,1.2V,DSI DATA2LANEP
U20,VSS,G,0V,Digital core ground
U21,GPIO_123,I/O,1.8V,General Purpose I/O 123
U22,GPIO_125,I/O,1.8V,General Purpose I/O 125
U23,NC,AI,1.8V,NC
U24,NC,AO,3.3V,NC
U25,GPIO_126,I/O,1.8V,General Purpose I/O 126
U26,GPIO_127,I/O,1.8V,General Purpose I/O 127
U3,AVSS_DSI1,G,0V,DSI Ground
U4,AVSS_DSI1,G,0V,DSI Ground
U5,AVSS_DSI1,G,0V,DSI Ground
U6,VCC_M1,P,0.9V,Digital Core power
U7,AVSS_DSI1,G,0V,DSI Ground
U8,VCC_M1,P,0.9V,Digital Core power
U9,VSS,G,0V,Digital Core ground
V1,MIPI_DSI1_CLKN,AO,1.2V,DSI CKLANEN
V10,VSS,G,0V,Digital Core ground
V11,VCC_M1,P,0.9V,Digital Core power
V12,VSS,G,0V,Digital Core ground
V13,VCC_M1,P,0.9V,Digital Core power
V14,VSS,G,0V,Digital Core ground
V15,VCC_M1,P,0.9V,Digital Core power
V16,VSS,G,0V,Digital Core ground
V17,VCC_M1,P,0.9V,Digital Core power
V18,VSS,G,0V,Digital Core ground
V19,VSS,G,0V,Digital Core ground
V2,MIPI_DSI1_CLKP,AO,1.2V,DSI CKLANEP
V20,VSS,G,0V,Digital Core ground
V21,GPIO_121,I/O,1.8V,General Purpose I/O 121
V22,VSS,G,0V,Digital Core ground
V23,GPIO_124,I/O,1.8V,General Purpose I/O 124
V24,GPIO_120,I/O,1.8V,General Purpose I/O 120
V25,VSS,G,0V,Digital Core ground
V26,GPIO_122,I/O,1.8V,General purpose I/O 122
V3,AVSS_DSI1,G,0V,DSI Ground
V4,AVSS_DSI1,G,0V,DSI Ground
V5,AVSS_DSI1,G,0V,DSI Ground
V6,AVSS_DSI1,G,0V,DSI Ground
V7,VCC_M1,P,0.9V,Digital Core power
V8,VSS,G,0V,Digital Core ground
V9,VCC_M1,P,0.9V,Digital Core power
W1,VSS,G,0V,Digital Core ground
W10,VCC_M1,P,0.9V,Digital Core power
W11,VSS,G,0V,Digital Core ground
W12,VCC_M1,P,0.9V,Digital Core power
W13,GPIO3_VCC_CAP,RO,1.8V,GPIO3 1.8V LDO cap
W14,VCC_M1,P,0.9V,Digital Core power
W15,VSS,G,0V,Digital Core ground
W16,VCC_M1,P,0.9V,Digital Core power
W17,VSS,G,0V,Digital Core ground
W18,VCC_M1,P,0.9V,Digital Core power
W19,VSS,G,0V,Digital Core ground
W2,VSS,G,0V,Digital Core ground
W20,VSS,G,0V,Digital Core ground
W21,GPIO_110,I/O,1.8V,General Purpose I/O 110
W22,GPIO_117,I/O,1.8V,General Purpose I/O 117
W23,GPIO_116,I/O,1.8V,General Purpose I/O 116
W24,VSS,G,0V,Digital Core ground
W25,GPIO_119,I/O,1.8V,General Purpose I/O 119
W26,GPIO_118,I/O,1.8V,General Purpose I/O 118
W3,VSS,G,0V,Digital Core ground
W4,MIPI_DSI1_D1N,AO,1.2V,DSI DATA1LANEN
W5,MIPI_DSI1_D1P,AO,1.2V,DSI DATA1LANEP
W6,VCC_M1,P,0.9V,Digital Core power
W7,VSS,G,0V,Digital Core ground
W8,VCC_M1,P,0.9V,Digital Core power
W9,VSS,G,0V,Digital Core ground
Y1,PRI_TRST_N,I/O,1.8V,JTAG reset
Y10,AVDD09_HDMI,P,0.9V,HDMI digtial power
Y11,VSS,G,0V,Digital Core ground
Y12,VSS,G,0V,Digital Core ground
Y13,VSS,G,0V,Digital Core ground
Y14,MMC1_VCC_CAP,RO,1.8V,SD card 1.8V LDO cap
Y15,GPIO2_VCC_CAP,RO,1.8V,GPIO2 1.8V LDO cap
Y16,VSS,G,0V,Digital Core ground
Y17,VSS,G,0V,Digital Core ground
Y18,VSS,G,0V,Digital Core ground
Y19,VSS,G,0V,Digital Core ground
Y2,GPIO_74,I/O,1.8V,General Purpose I/O 74
Y20,VSS,G,0V,Digital Core ground
Y21,VCC18_GPIO,P,1.8V,GPIO1/4/5/PMIC I/O power
Y22,GPIO_26,I/O,1.8V,General Purpose I/O 26
Y23,GPIO_27,I/O,1.8V,General Purpose I/O 27
Y24,VSS,G,0V,Digital Core ground
Y25,GPIO_28,I/O,1.8V,General Purpose I/O 28
Y26,GPIO_115,I/O,1.8V,General Purpose I/O 115
Y3,VSS,G,0V,Digital Core ground
Y4,MIPI_DSI1_D0N,AO,1.2V,DSI DATA0LANEN
Y5,MIPI_DSI1_D0P,AO,1.2V,DSI DATA0LANEP
Y6,VSS,G,0V,Digital Core ground
Y7,AVDD33_HDMI,P,3.3V,HDMI 3.3V power
Y8,AVDD33_HDMI,P,3.3V,HDMI 3.3V power
Y9,AVDD09_HDMI,P,0.9V,HDMI digtial power
